Transaction Date,Transaction Description,Debit Amount,Credit Amount,Running Balance
2024-02-01,RENT PAYMENT,1200.00,,4652.97
2024-02-02,DIVIDEND PAYMENT,,125.50,4778.47
2024-02-03,SUPERMARKET GROCERIES,78.65,,4699.82
2024-02-04,MOBILE PHONE BILL,45.99,,4653.83
2024-02-05,DOCTOR VISIT COPAY,25.00,,4628.83
2024-02-06,BOOKSTORE PURCHASE,34.99,,4593.84
2024-02-07,SALARY DEPOSIT,,3500.00,8093.84
2024-02-08,CAR INSURANCE PREMIUM,156.75,,7937.09
2024-02-09,STREAMING SERVICE SUBSCRIPTION,14.99,,7922.10
2024-02-10,FAST FOOD PURCHASE,11.50,,7910.60
2024-02-11,BANK TRANSFER TO SAVINGS,500.00,,7410.60
2024-02-12,ONLINE COURSE PAYMENT,199.00,,7211.60
2024-02-13,HARDWARE STORE PURCHASE,67.45,,7144.15
2024-02-14,VALENTINE DINNER,89.75,,7054.40
2024-02-15,INVESTMENT DIVIDEND,,75.25,7129.65
2024-02-16,TAXI FARE,15.80,,7113.85
2024-02-17,DENTAL CLEANING,120.00,,6993.85
2024-02-18,ELECTRONICS STORE PURCHASE,299.99,,6693.86
2024-02-19,FREELANCE PROJECT PAYMENT,,450.00,7143.86
2024-02-20,CHARITY DONATION,50.00,,7093.86